H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (a) g_HH(r)

 Bin no.        r             g(r)        std.
    518  15.47996      1.000224     0.2469081E-01
    519  15.50996      1.000234     0.2623120E-01
    520  15.53996     0.9996576     0.2440552E-01
    521  15.56996      1.000404     0.2610365E-01
    522  15.59996      1.000859     0.2569399E-01
    523  15.62996      1.000466     0.2537419E-01
    524  15.65996      1.000600     0.2521867E-01
    525  15.68996      1.000612     0.2532952E-01
    526  15.71996      1.000953     0.2571022E-01
    527  15.74996      1.000950     0.2674204E-01
    528  15.77995      1.001049     0.2499552E-01
    529  15.80995      1.001167     0.2600527E-01
    530  15.83995      1.001233     0.2677100E-01
    531  15.86995      1.001234     0.2715783E-01
    532  15.89995      1.001327     0.2628341E-01
    533  15.92995      1.001598     0.2636493E-01
    534  15.95995      1.001382     0.2721922E-01
    535  15.98995      1.001265     0.2667732E-01
    536  16.01995      1.001621     0.2656313E-01
    537  16.04996      1.001751     0.2687544E-01
    538  16.07996      1.001918     0.2689539E-01
    539  16.10996      1.001354     0.2815144E-01
    540  16.13996      1.001507     0.2749592E-01
    541  16.16996      1.001625     0.2737207E-01
    542  16.19996      1.000990     0.2833715E-01
    543  16.22996      1.001627     0.2822755E-01
    544  16.25996      1.000883     0.2742863E-01
    545  16.28996      1.000746     0.2791756E-01
    546  16.31996      1.000967     0.2845260E-01
    547  16.34996      1.000786     0.2766233E-01
    548  16.37996      1.000207     0.2813661E-01
    549  16.40996      1.000597     0.2846307E-01
    550  16.43996     0.9996200     0.2876511E-01
    551  16.46996      1.000255     0.2847354E-01
    552  16.49997      1.000405     0.2850283E-01
    553  16.52997     0.9997475     0.2844736E-01
    554  16.55997      1.000781     0.2884375E-01
    555  16.58997     0.9999399     0.2899009E-01
    556  16.61997     0.9996738     0.2880239E-01
    557  16.64997      1.000717     0.2956219E-01
    558  16.67997      1.000406     0.2936800E-01
    559  16.70997      1.000236     0.2990100E-01
    560  16.73997     0.9999164     0.3092405E-01
    561  16.76997      1.001451     0.3107403E-01
    562  16.79997      1.000606     0.3008581E-01
    563  16.82997      1.000817     0.3056734E-01
    564  16.85997      1.001028     0.3082559E-01
    565  16.88997      1.000735     0.3084106E-01
    566  16.91998      1.000531     0.3127288E-01
    567  16.94998      1.000236     0.3166872E-01
    568  16.97998      1.000328     0.3115640E-01
    569  17.00998      1.001505     0.3204479E-01
    570  17.03998      1.000906     0.3199453E-01
    571  17.06998      1.000986     0.3227646E-01
    572  17.09998      1.000773     0.3197590E-01
    573  17.12998      1.001206     0.3270027E-01
    574  17.15998      1.000871     0.3279309E-01
    575  17.18998      1.001130     0.3258523E-01
    576  17.21998      1.001160     0.3262910E-01
    577  17.24998     0.9999045     0.3294904E-01
    578  17.27998     0.9993947     0.3387754E-01
    579  17.30998      1.000453     0.3402063E-01
    580  17.33998     0.9997622     0.3392149E-01
    581  17.36999     0.9985872     0.3427286E-01
    582  17.39999     0.9976009     0.3485230E-01
    583  17.42999     0.9980074     0.3509092E-01
    584  17.45999     0.9975975     0.3476154E-01
    585  17.48999     0.9978414     0.3563701E-01
    586  17.51999     0.9966046     0.3595919E-01
    587  17.54999     0.9961285     0.3624234E-01
    588  17.57999     0.9959570     0.3668126E-01
    589  17.60999     0.9967892     0.3670807E-01
    590  17.63999     0.9955620     0.3695083E-01
    591  17.66999     0.9961118     0.3716876E-01
    592  17.69999     0.9954325     0.3781659E-01
    593  17.72999     0.9964736     0.3889199E-01
    594  17.75999     0.9968991     0.3865834E-01
    595  17.79000     0.9961427     0.3989590E-01
    596  17.82000     0.9999992     0.1544081E-02
